epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,787.343,0.48001,0.38753,0.88961,0.65718,0.59735,0.58555,0.48424,0.54041,0.43049,0.88994,0.000610789,0.000610789,0.000610789
66,799.424,0.49282,0.39092,0.87969,0.71698,0.59994,0.57392,0.48027,0.51347,0.43249,0.88129,0.000594286,0.000594286,0.000594286
67,811.435,0.48604,0.38359,0.87859,0.68979,0.63365,0.58792,0.48677,0.51866,0.42742,0.87692,0.000577782,0.000577782,0.000577782
68,823.394,0.49346,0.38691,0.884,0.66105,0.64386,0.59193,0.48929,0.49448,0.41265,0.86846,0.000561279,0.000561279,0.000561279
69,835.353,0.49312,0.38045,0.88088,0.68585,0.62061,0.58091,0.48501,0.51198,0.44355,0.89321,0.000544776,0.000544776,0.000544776
70,847.49,0.47168,0.37341,0.87529,0.61348,0.64819,0.63493,0.50598,0.50312,0.45378,0.89247,0.000528272,0.000528272,0.000528272
71,859.501,0.46297,0.35588,0.86505,0.73388,0.65184,0.62619,0.50095,0.52632,0.42584,0.90218,0.000511769,0.000511769,0.000511769
72,871.749,0.46059,0.35909,0.86967,0.70993,0.65914,0.62919,0.50259,0.53712,0.41774,0.91217,0.000495266,0.000495266,0.000495266
73,884.029,0.4807,0.37649,0.88976,0.66051,0.63224,0.58208,0.48604,0.54563,0.40967,0.90681,0.000478762,0.000478762,0.000478762
74,896.281,0.46125,0.35861,0.86731,0.7001,0.65184,0.60401,0.49348,0.48771,0.41952,0.87365,0.000462259,0.000462259,0.000462259
75,908.27,0.44575,0.34464,0.86968,0.75782,0.61694,0.60521,0.49924,0.4963,0.39997,0.88163,0.000445756,0.000445756,0.000445756
76,920.466,0.4448,0.35294,0.8767,0.81733,0.62061,0.63549,0.50591,0.50442,0.39582,0.89607,0.000429253,0.000429253,0.000429253
77,932.719,0.43922,0.34176,0.87805,0.73284,0.601,0.62332,0.50177,0.49853,0.39804,0.8957,0.000412749,0.000412749,0.000412749
78,944.976,0.45067,0.35206,0.87421,0.69655,0.61263,0.60018,0.49568,0.47342,0.38141,0.8766,0.000396246,0.000396246,0.000396246
79,957.126,0.43197,0.34292,0.86287,0.73139,0.60898,0.59778,0.50099,0.47935,0.37995,0.86841,0.000379743,0.000379743,0.000379743
80,969.365,0.42689,0.33132,0.86588,0.64561,0.64751,0.59782,0.50461,0.46748,0.39464,0.84556,0.000363239,0.000363239,0.000363239
81,981.547,0.43125,0.33458,0.86459,0.6518,0.61474,0.59277,0.50428,0.46656,0.38084,0.84772,0.000346736,0.000346736,0.000346736
